Nama Cabang,Provinsi,id,name,state_code,latitude,longitude,type
BDGTER,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SORBOJ,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
MKSRAT,Sulawesi Selatan,1795.0,Sulawesi Selatan,SN,-3.66879940,119.97405340,province
JAKSAT,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
KYBAMP,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
BPPMUL,Kalimantan Timur,1804.0,Kalimantan Timur,KI,0.53865860,116.41938900,province
MKSPEN,Sulawesi Selatan,1795.0,Sulawesi Selatan,SN,-3.66879940,119.97405340,province
TJPGUN,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
BPPHAR,Kalimantan Timur,1804.0,Kalimantan Timur,KI,0.53865860,116.41938900,province
TGRKUT,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
NPHCIB,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
SORLAS,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
MKSPOR,Sulawesi Selatan,1795.0,Sulawesi Selatan,SN,-3.66879940,119.97405340,province
SMDJAT,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
KYBCIL,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
SMDABD,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
CKGOTI,DKI Jakarta,1805.0,DKI Jakarta,JK,-6.20876340,106.84559900,capital district
BJRLAP,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
TNGMER,Banten,1810.0,Banten,BT,-6.40581720,106.06401790,province
SBRTUP,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BDGSOE,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BKSJAI,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
BGRBAT,Jawa Barat,1825.0,Jawa Barat,JB,-7.09091100,107.66888700,province
