Kode #,Nama Barang,Kategori Barang,PIC
100183,POTASSIUM SORBAT - MAKLOON,10.FOOD [RM] - COM,RESTO
100185,MSG - MAKLOON,10.FOOD [RM] - COM,RESTO
100200,SUN QUICK LEMON (V.020),10.FOOD [RM] - COM,CP
100195,CHOCOLATE SAUCE,10.FOOD [RM] - COM,CP
100191,VANILLA SOFT MIX ICE MIX,10.FOOD [RM] - COM,CP
100194,CHOCOLATE COATING,10.FOOD [RM] - COM,CP
100196,STRAWBERRY SAUCE,10.FOOD [RM] - COM,CP
100193,OREO CRUMB,10.FOOD [RM] - COM,CP
100192,WAFER CONE,10.FOOD [RM] - COM,CP
100176,SIOMAY MERCON,10.FOOD [WIP] - COM,CP
100174,KUOTIE,10.FOOD [WIP] - COM,CP
100178,SUPER PAO AYAM,10.FOOD [WIP] - COM,CP
100180,SUPER PAO TELUR ASIN,10.FOOD [WIP] - COM,CP
100179,SUPER PAO OREO,10.FOOD [WIP] - COM,CP
100175,SIOMAY GRANAT,10.FOOD [WIP] - COM,CP
100181,LUMPIA GORENG KULIT TAHU,10.FOOD [WIP] - COM,CP
100177,SIOMAY RUDAL,10.FOOD [WIP] - COM,CP
100198,SUPER PAO COKELAT,10.FOOD [WIP] - COM,CP
100199,SUPER PAO KACANG HIJAU,10.FOOD [WIP] - COM,CP
100197,SUPER PAO TARO,10.FOOD [WIP] - COM,CP
